Abreviaturas Inglês;Definição Inglês;Abreviaturas Português;Definição Português
ACR;Automatic Content Recognition;;
ADSL;Asymmetric Digital Subscriber Line;;
AES;Advanced Encryption Standard;;
AI;Artificial Intelligence;IA;Inteligência Artificial
AMI;advanced metering infrastructure;;
;;ANS;acordo de nível de serviço
API;application programming interface;;
app;mobile application;;
AR;Augmented Reality;;
ASCII;American Standard Code for Information Interchange;;
ASP;application service provider;;
ATM;asynchronous transfer mode;;
AVI;Audio Video Interleave;;
B2B;business to business;;
B2C;business to consumer;;
B2E;business to employees;;
B2G;business to govern;;
BBS;Bulletin Board System;;
;;BC;base de conhecimento
bit/s;bit per second;;bit por segundo
BPM;business process management;;
BPO;Business Process Outsourcing;;contratação externa de processos de negócio
BPR;Business Process Reengineering;;
bps;bit per second;bps;bit por segundo
Bps;byte per second;;byte por segundo
byte/s;byte per second;;byte por segundo
C2G;citizen to Government;;
CC;Common Criteria;;
CC;Creative Commons;;
CD;compact disk;;
CD­I;compact disk ­interactive;;
CD­ROM;compact disk ­ read only memory;;
CGI;common gateway interface;;
CM;content management;;
CMM;Capability Maturity Model;;
CMS;content management system;;
;;CNPD;Comissão Nacional de Proteção de Dados
CoP;community of practice;;
CPD;;;
CRL;certificate revogation list;;
CRM;customer relationship management;;
CRUD;create, read, update and delete;;
CSCW;computer ­supported cooperative work;;
CSS;cascading style sheets;;
cXML Resources;commerce eXtensible Markup Language Resources;;
DaaS;desktop as a service;;
Darknet;dark web;;
DB;database;BD;Base de Dados
DFD;data flow diagram;;diagrama de fluxo de dados
DMEA;Document Management and Electronic Archiving;;
DNS;Domain Name System;;
DoS;denial of service;;
DRM;digital rights management;;
DSL;digital subscriber line;;
DSS;decision support system;;
DTH;direct ­to ­home;;
DTTV;digital terrestrial television;TDT;televisão digital terrestre
DTV;digital television;;
DVB;digital video broadcasting;;
DVD;digital versatile disk;;
DVI;digital video interactive;;
e-­com;e-­commerce;;
e­gov;e-­government;;
e-­gov;e-­government;;
e-­zine;e­-magazine;;revista electrónica
EAI;enterprise application integration;;
ECDL;European Computer Driving License;;
ECM;enterprise content management;;
EDA;event driven architecture;;
EDI;electronic data interchange;;
EDP;electronic data processing;;
EFT;electronic fund transfer;;
EIS;executive information system;;
ENISA;European Network and Information Security Agency ;;
EPM;enterprise project management;;
ERP;enterprise resource planning;;
ESMTP;Extended Simple Mail Transfer Protocol;;
FAQ;frequently asked questions;PMF;Perguntar Mais Frequentes
FOSS;free and open source software;;
FPS;frames per second;;
FTP;File Transfer protocol;;
G2B;government to business;;
G2C;government to citizens;;
G2G;government to government;;
;;GDD;gestão de direitos digitais
GEA;Governance Enterprise Architecture;;
GFS;Google file system;;
GIF;Graphic Interchange Format;;
GII;global information infrastructure;;
GIS;geographical information system;;
GML;Geographical Markup Language;;
GPRS;General Packet Radio Service;;
GPS;Global Positioning System;;
GSM;Global System for Mobile Communications;;
GUI;graphical user interface;;
HDTV;high definition television;;
HPC;high performance computing (and communication) ;HPCC;computação (e comunicação) de elevado desempenho
HPSB;Firewire;;
HTML;Hypertext Markup Language;;
HTTP;HyperText Transfer Protocol;;
HTTPS;Hypertext Transfer Protocol over Secure Socket Layer;;
;;IAP;Internet access provider
ICQ;ICQ software;;
ICT;information and communication technologies;;
IM;instant messaging;;
IMAP4;Internet Message Access Protocol version 4;;
IoT;Internet of things;;
IP;Internet Protocol;;
IPM;innovation process management;;
IPTV;televisão sobre IP;;
IPTV;Internet Protocol Television;;
IPv4;Internet Protocol version 4;;
IPv6;Internet Protocol version 6;;
IS;information system;SI;Sistemas de Informação
ISP;internet service provider;FAI;fornecedor de acesso à internet
ISDN;integrated services digital network;RDIS;rede digital com integração de serviços
IST;Information Society Technologies;;
ITV;information technologies;;
ITV;interactive television;;
JPEG;Joint Photographers Expert Group format;;
KB;knowledge base;;
KPI;key performance indicator;;
LAN;local area network;;
LCD;Liquid Cristal Display;;
LD;optical disk;;
LDAP;Light Weight Directory Access Protocol;;
LED;Light Emitting Diode Display;;
m­com;m­commerce;;
M2M;machine to machine;;
MAN;metropolitan area network;;
MIME;Multipurpose Internet Mail Extensions;;
MIS;management information system;;
MoReq;Model Requirement for the Management of Electronic Records;;
MP3;MPEG­1 Audio Layer­3 format;;
MPEG;Moving Pictures Expert Group format;;
NFC;Near field communication;;tecnologia NFC
NNTP;Network News Transfer Protocol;;
OASIS;Organisation for the Advancement of Structured Information Standards;;
OCSP;Online Certificate Status Protocol;;
OLAP;online analytical processing;;
OLED;Organic Light Emitting Diode Display;;
OS;operating system;;
OSCI;Online Services Computer Interfaces;;
OSI;open systems interconnection;;
P2P;peer to peer;;
PC;personal computer;;
PCN;personal communication network;;
PDA;personal digital assistant;;
PIN;personal identification number;;
PKC;public key certificate;;
PKCS;Public Key Cryptography Standard;;
PKI;public key infrastructure;;
PNG;Portable Network Graphics;;
PnP;plug and play;;
PoP;point of presence;;
POP3;Post Office Protocol ­ version 3;;
PPP;Public Private Partnership;;
PSTN;fixed telephone network;;
QoS;quality of service;;
;;QPS;Quadros Por Segundo
;;RA;realidade aumentada
RDF;Resource Description Framework;;
REST;Representational State Transfer;;
RFID;radio frequency identification;;
RSA;RSA algorithm;;
RSS;really simple syndication format;;
RSVP;Resource Reservation Setup Protocol;;
RTE;real time enterprise;;
SaaS;software as a service;;
;;SAD;sistema de apoio à decisão
