#UTX 1.20; lang: en/pt; creation date:2020-08-29; domain:computer; license: CC BY-NC 4.0														
#https://www.localeplanet.com/icu/pt/index.html														
#src:en	src:pos	tgt:pt	term status:pt	comment:pt	tgt:pt-BR	term status:pt-BR	comment:pt-BR	tgt:pt-PT	term status:pt-PT	comment:pt-PT	tgt:pt-AO	term status:pt-AO	comment:pt-AO	concept id
backdoor	noun	porta de serviço	rejected											
spreadsheet	noun	folha de cálculo	aproved		planilha	aproved								
Excel	noun	Excel	non-standard											
e­mail	noun	correio eletrónico	aproved		correio eletrônico	aproved								
@at	noun	@												
3D bioprinting		bioimpressão 3D												
3D printing		impressão 3D												
3D scanning		digitalização 3D												
access		acesso												
access control	sentence	controlo de acesso												
access network		rede de acesso												
access permission		permissão de acesso												
access profile		perfil de acesso												
access right		direito de acesso												
access to data		acesso a dados												
access to information		acesso à informação												
access to knowledge		acesso ao conhecimento												
access to the Internet		acesso à Internet												
accessibility		acessibilidade												
accessibility supported		suporte à acessibilidade												
accreditation		acreditação												
accreditation authority		entidade credenciadora												
adaptive learning		aprendizagem adaptativa												
address		endereço												
advanced digital signature		assinatura eletrónica avançada												
Advanced Encryption Standard		norma AES												
advanced metering infrastructure		infraestrutura de medição avançada												
adware		software de publicidade não solicitada												
algorithm		algoritmo												
American Standard Code for Information Interchange		código ASCII												
analog signal		sinal analógico												
anti­spam filter		filtro anti­spam												
application programming interface		interface de programação de aplicações												
application service provider		fornecedor de serviços de aplicação												
application software		software de aplicação												
Artificial Intelligence		Inteligência Artificial												
artificial language		linguagem artificial												
assistive technology		tecnologia de assistência												
asymmetric cryptography		criptografia assimétrica												
asymmetric digital subscriber line		linha de subscritor digital assimétrica												
asynchronous transfer mode		modo de transferência assíncrono												
Atom syndication format		formato Atom												
Audio Video Interleave		formato AVI												
audit		auditoria												
augmented reality		realidade aumentada												
authenticity		autenticidade												
automatic content recognition		reconhecimento automático de conteúdos												
automation		automação												
automation (2)		automatização												
availability		disponibilidade												
avatar		avatar												
b­learning		aprendizagem mista												
back office system		sistema informático de retaguarda												
backbone		rede dorsal												
background		em segundo plano												
backup		salvaguarda												
balanced eGovernment		Governo eletrónico equilibrado												
bandwidth		largura de banda												
bandwidth as currency		largura de banda como moeda												
banner		banda publicitária												
baseband		banda de base												
benchmarking		análise comparativa												
best practices		boas práticas												
Big Data		Grandes Dados												
biometric control		controlo biométrico												
biometrics		biometria												
bit		bit												
bit per second		bit por segundo												
black list		lista negra												
black technology		tecnologia negra												
blog		blogue												
blogsphere		blogosfera												
bluetooth		bluetooth												
bookmarks		marcadores												
boot (to)		inicializar (o computador)												
Braille terminal		terminal Braille												
bridgeware		software de transição												
broadband		banda larga												
browser		navegador												
bug		erro (informático)												
bulletin board system		sistema de boletins eletrónicos												
bus		barramento												
business intelligence		inteligência empresarial												
business process		processo de negócio												
business process management		gestão dos processos de negócio												
business process outsourcing		contratação externa de processos de negócio												
business process reengineering		reengenharia dos processos de negócio												
business to business		transações empresas ­empresas												
business to consumer		transações empresas­ consumidores												
business to employees		transações empresas­ colaboradores												
byte		byte												
byte per second		byte por segundo												
cable modem		modem de cabo												
cable television		televisão por cabo												
call center		centro de contacto												
Capability Maturity model		modelo CMM												
cascading style sheets		folhas de estilo em cascata												
case­sensitive		sensível a maiúsculas e minúsculas												
certificate management		gestão de certificados												
certificate revogation list		lista de certificados revogados												
certification		certificação												
certification authority		autoridade certificadora												
chain letter		mensagem (de correio eletrónico) em cadeia												
chat		conversa (em linha)												
chip		chip												
chip card		cartão de circuitos integrados												
citizen identification		identificação do cidadão												
citizen to Government		transações cidadãos­Governo												
client		cliente												
client­server		cliente­servidor												
client­server architecture		arquitetura cliente­servidor												
cloud computing		computação na nuvem												
cloud storage		armazenamento na nuvem												
cloudware		software na nuvem												
cluster		agrupamento												
co­creation		cocriação												
coaxial cable		cabo coaxial												
code		código												
commerce eXtensible Markup Language Resources		protocolo cXML Resources												
commercial on­line service		serviço em linha comercial												
Common Criteria		norma Critérios Comuns												
common gateway interface		interface CGI												
communication		comunicação												
communication channel		canal de comunicação												
communication network		rede de comunicação												
community of practice		comunidade de prática												
compact disk		disco compacto												
compact disk ­ interactive		disco compacto interativo												
compact disk ­ read only memory		disco compacto apenas de leitura												
compliance		conformidade												
computer application		aplicação informática												
computer crime		crime informático												
computer file		ficheiro informático												
electronic file		ficheiro informático												
computer literacy		literacia digital												
computer network		rede de computadores												
computer science		informática												
computer security		segurança informática												
computer singularity		singularidade computacional												
computer system		sistema informático												
computer­ supported communication		comunicação apoiada em computadores												
computer­ supported cooperative work		trabalho de cooperação apoiado em computadores												
